Rank,Product,Team,Year,Product_Category,Sales_Engineer,BKS_Sales,KWG_Sales,TNG_Sales,BGR_Sales,Total_Sales
2571,Hitman: Contracts,TMSales7,2004.0,Rotary Actuators,Eidos Interactive,0.39,0.31,0.0,0.1,0.8
2572,The Sims 2: Pets,TMSales17,2006.0,Flow Control,Amir,0.19,0.39,0.0,0.22,0.8
2573,Final Fantasy Anthology,TMSales13,1999.0,Fittings/Tubing,Square EA,0.45,0.3,0.0,0.05,0.8
2574,Aliens: Colonial Marines,TMSales5,2013.0,Rotary Actuators,Amin,0.36,0.37,0.0,0.07,0.8
2575,Pro Evolution Soccer 2010,TMSales17,2009.0,Air Cylinders,Rizal,0.09,0.33,0.2,0.18,0.8
2576,[Prototype 2],TMSales5,2012.0,Directional Control Valves,Febby,0.48,0.25,0.0,0.07,0.8
2577,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,TMSales5,2010.0,Switches/Sensors,Amin,0.37,0.35,0.0,0.07,0.8
2578,Goldeneye 007: Reloaded,TMSales6,2011.0,Rotary Actuators,Febby,0.33,0.35,0.0,0.13,0.8
2579,NBA 2K16,TMSales6,2015.0,Air Cylinders,Faisal,0.44,0.19,0.03,0.13,0.8
2580,All Star Cheer Squad,TMSales1,2008.0,Air Cylinders,Yogi,0.43,0.29,0.0,0.08,0.8
2581,The Sims 2: Castaway,TMSales17,2007.0,Flow Control,Amir,0.08,0.46,0.0,0.25,0.8
2582,Prince of Persia: Warrior Within,TMSales14,2004.0,Directional Control Valves,Andrias,0.48,0.28,0.0,0.04,0.8
2583,Dragon's Dogma,TMSales5,2012.0,Fittings/Tubing,Capcom,0.42,0.24,0.07,0.06,0.8
2584,Darksiders II,TMSales5,2012.0,Directional Control Valves,Yogi,0.45,0.28,0.0,0.07,0.8
2585,Resident Evil: Revelations,TMSales6,2013.0,Directional Control Valves,Capcom,0.14,0.32,0.22,0.12,0.8
2586,Rayman Raving Rabbids 2,TMSales4,2007.0,Vacuum Equipment,Andrias,0.73,0.01,0.0,0.06,0.8
2587,Super Robot Taisen α,TMSales13,2000.0,Accessories,Banpresto,0.0,0.0,0.75,0.05,0.8
2588,PES 2009: Pro Evolution Soccer,TMSales17,,Air Cylinders,Rizal,0.04,0.33,0.26,0.17,0.8
2589,Need for Speed: Hot Pursuit 2,TMSales19,2002.0,Switches/Sensors,Amir,0.68,0.09,0.0,0.02,0.8
2590,Star Wars: The Force Unleashed II,TMSales1,2010.0,Directional Control Valves,LucasArts,0.54,0.19,0.0,0.06,0.8
2591,Band Hero,TMSales5,2009.0,Vacuum Equipment,Febby,0.51,0.22,0.0,0.07,0.8
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,TMSales20,2013.0,Air Cylinders,Bayu,0.39,0.22,0.13,0.06,0.8
2593,Tales of Destiny 2,TMSales7,2002.0,Fittings/Tubing,Yaqub,0.0,0.0,0.8,0.0,0.8
2594,Capcom's Soccer Shootout,TMSales8,1993.0,Air Cylinders,Bayu,0.0,0.0,0.8,0.0,0.8
2595,Sniper: Ghost Warrior,TMSales6,2011.0,Rotary Actuators,City Interactive,0.26,0.36,0.04,0.14,0.8
2596,The Godfather II,TMSales5,2009.0,Directional Control Valves,Amir,0.47,0.24,0.01,0.08,0.79
2597,pro evolution soccer 2011,TMSales17,2010.0,Air Cylinders,Rizal,0.05,0.3,0.29,0.16,0.79
2598,Alien,TMSales16,1981.0,Directional Control Valves,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
2599,Dragon Ball Z: Budokai Tenkaichi 2,TMSales7,2006.0,FRL,Kriston,0.66,0.02,0.0,0.11,0.79
2600,The Walking Dead: Season One,TMSales6,2012.0,Lubrication,Avanquest Software,0.4,0.25,0.03,0.11,0.79
2601,Rayman Origins,TMSales5,2011.0,Electric Actuators,Andrias,0.38,0.34,0.0,0.08,0.79
2602,Guitar Hero: Aerosmith,TMSales7,2008.0,Vacuum Equipment,Febby,0.61,0.0,0.0,0.18,0.79
2603,Ridge Racer,TMSales13,1994.0,Switches/Sensors,Ferdi,0.0,0.0,0.74,0.05,0.79
2604,Final Fantasy Tactics A2: Grimoire of the Rift,TMSales4,2007.0,Fittings/Tubing,Square Enix,0.42,0.03,0.3,0.04,0.79
2605,Harvest Moon: A Wonderful Life,TMSales19,2003.0,Fittings/Tubing,Andrias,0.61,0.16,0.0,0.02,0.79
2606,Momotarou Dentetsu 7,TMSales13,1997.0,Flow Control,Hudson Entertainment,0.0,0.0,0.74,0.05,0.79
2607,Invizimals,TMSales17,2009.0,Accessories,Ferdi,0.17,0.51,0.0,0.11,0.79
2608,Motocross Mania,TMSales13,2001.0,Switches/Sensors,Faisal,0.44,0.3,0.0,0.05,0.79
2609,Tiger Woods PGA Tour 10,TMSales6,2009.0,Air Cylinders,Amir,0.42,0.25,0.0,0.12,0.79
2610,Star Wars The Clone Wars: Jedi Alliance,TMSales4,2008.0,Directional Control Valves,LucasArts,0.62,0.11,0.0,0.07,0.79
2611,WCW Mayhem,TMSales12,1999.0,FRL,Amir,0.63,0.15,0.0,0.01,0.79
2612,Mega Man 5,TMSales2,1992.0,Electric Actuators,Capcom,0.39,0.07,0.32,0.01,0.79
2613,Star Ocean: The Last Hope,TMSales5,2009.0,Fittings/Tubing,Square Enix,0.32,0.2,0.21,0.06,0.79
2614,Dance Dance Revolution SuperNOVA 2,TMSales7,2007.0,Flow Control,Rizal,0.64,0.03,0.02,0.1,0.79
2615,Armored Core 2,TMSales7,2000.0,Flow Control,Andrias,0.28,0.22,0.23,0.07,0.79
2616,Dragon Quest Monsters 2,TMSales10,2014.0,Fittings/Tubing,Square Enix,0.0,0.0,0.79,0.0,0.79
2617,Ghost Squad,TMSales1,2007.0,Rotary Actuators,Amin,0.42,0.21,0.08,0.07,0.79
2618,Dead Island: Riptide,TMSales5,2013.0,Directional Control Valves,Deep Silver,0.44,0.27,0.01,0.07,0.79
2619,Drawn to Life,TMSales4,2007.0,Directional Control Valves,Yogi,0.71,0.02,0.0,0.06,0.79
2620,Major League Baseball Featuring Ken Griffey Jr,TMSales12,1998.0,Air Cylinders,Bayu,0.75,0.03,0.0,0.01,0.79
2621,FIFA 12,TMSales1,2011.0,Air Cylinders,Amir,0.16,0.52,0.0,0.11,0.79
2622,Too Human,TMSales5,2008.0,Fittings/Tubing,Agus,0.38,0.3,0.03,0.08,0.79
2623,Sid Meier's Civilization Revolution,TMSales6,2008.0,Accessories,Faisal,0.49,0.19,0.01,0.1,0.79
2624,NCAA Football 08,TMSales7,2007.0,Air Cylinders,Amir,0.65,0.03,0.0,0.11,0.79
2625,FIFA Soccer 2004,TMSales14,2003.0,Air Cylinders,Amir,0.24,0.49,0.0,0.05,0.79
2626,Personal Trainer: Walking,TMSales4,2008.0,Air Cylinders,Bayu,0.22,0.32,0.17,0.07,0.79
2627,Naruto Shippuden: Ultimate Ninja Storm 2,TMSales5,2010.0,FRL,Yaqub,0.43,0.27,0.01,0.07,0.79
2628,PokePark 2: Wonders Beyond,TMSales1,2011.0,Directional Control Valves,Bayu,0.27,0.2,0.27,0.05,0.79
2629,Professor Layton and the Azran Legacy,TMSales10,2013.0,Air Preparation,Bayu,0.0,0.48,0.25,0.06,0.78
2630,Tom Clancy's Splinter Cell: Double Agent,TMSales5,2006.0,Directional Control Valves,Andrias,0.67,0.05,0.01,0.06,0.78
2631,Yars' Revenge,TMSales16,1982.0,Rotary Actuators,Kriston,0.73,0.04,0.0,0.01,0.78
2632,Lips,TMSales5,2008.0,Vacuum Equipment,Agus,0.12,0.56,0.0,0.1,0.78
2633,Secret Agent Barbie: Royal Jewels Mission,TMSales9,2002.0,Electric Actuators,Vivendi Games,0.56,0.21,0.0,0.01,0.78
2634,Metroid Prime Hunters,TMSales4,2006.0,Rotary Actuators,Bayu,0.58,0.04,0.11,0.06,0.78
2635,The 7th Guest,TMSales15,1992.0,Lubrication,Virgin Interactive,0.01,0.77,0.0,0.0,0.78
2636,Doom,TMSales13,1994.0,Rotary Actuators,Infogrames,0.43,0.3,0.0,0.05,0.78
2637,Buzz! The Hollywood Quiz,TMSales7,2007.0,Vacuum Equipment,Ferdi,0.17,0.0,0.0,0.61,0.78
2638,Puzzler World,TMSales4,2009.0,Air Preparation,Andrias,0.41,0.3,0.0,0.07,0.78
2639,My Little Pony: Pinkie Pie's Party,TMSales4,2008.0,Lubrication,Yogi,0.72,0.0,0.0,0.06,0.78
2640,We Sing,TMSales1,2009.0,Vacuum Equipment,Nordic Games,0.0,0.69,0.0,0.09,0.78
2641,Marvel vs. Capcom: Clash of Super Heroes,TMSales13,1999.0,FRL,Capcom,0.43,0.3,0.0,0.05,0.78
2642,God of War Saga,TMSales6,2012.0,Directional Control Valves,Ferdi,0.72,0.0,0.0,0.06,0.78
2643,Battle Stations,TMSales13,1997.0,Accessories,Amir,0.43,0.29,0.0,0.05,0.78
2644,Tetris Party Deluxe,TMSales4,2010.0,Air Preparation,Bayu,0.29,0.3,0.12,0.07,0.78
2645,Pro Evolution Soccer 2016,TMSales11,2015.0,Air Cylinders,Rizal,0.13,0.42,0.13,0.1,0.78
2646,Worms: Open Warfare,TMSales17,2006.0,Accessories,Yogi,0.11,0.43,0.0,0.24,0.78
2647,Star Wars Battlefront: Elite Squadron,TMSales17,2009.0,Rotary Actuators,LucasArts,0.38,0.24,0.0,0.16,0.78
2648,UFC Personal Trainer: The Ultimate Fitness System,TMSales5,2011.0,Air Cylinders,Yogi,0.53,0.19,0.0,0.06,0.78
2649,Resident Evil: Operation Raccoon City,TMSales5,2012.0,Directional Control Valves,Capcom,0.55,0.15,0.03,0.06,0.78
2650,NBA 2K7,TMSales7,2006.0,Air Cylinders,Faisal,0.65,0.02,0.0,0.11,0.78
2651,Need for Speed: ProStreet,TMSales17,2008.0,Switches/Sensors,Amir,0.24,0.33,0.01,0.2,0.78
2652,Toy Story 3: The Video Game,TMSales5,2010.0,Directional Control Valves,Disney Interactive Studios,0.41,0.29,0.0,0.07,0.78
2653,Torneko no Daibouken: Fushigi no Dungeon,TMSales8,1993.0,Fittings/Tubing,ChunSoft,0.0,0.0,0.78,0.0,0.78
2654,Jr. Pac-Man,TMSales16,1983.0,Air Preparation,Kriston,0.72,0.05,0.0,0.01,0.78
2655,James Bond 007: Nightfire,TMSales19,2002.0,Rotary Actuators,Amir,0.6,0.16,0.0,0.02,0.78
2656,Banjo-Kazooie: Nuts & Bolts,TMSales5,2008.0,Electric Actuators,Agus,0.32,0.36,0.0,0.09,0.78
2657,NBA ShootOut 98,TMSales13,1998.0,Air Cylinders,Ferdi,0.43,0.29,0.0,0.05,0.78
2658,Avatar: The Game,TMSales5,2009.0,Directional Control Valves,Andrias,0.34,0.35,0.0,0.08,0.78
2659,Harry Potter and the Half-Blood Prince,TMSales1,2009.0,Directional Control Valves,Amir,0.28,0.4,0.0,0.09,0.77
2660,DJ Hero,TMSales1,2009.0,Vacuum Equipment,Febby,0.47,0.23,0.0,0.07,0.77
2661,Perfect Dark Zero,TMSales5,2005.0,Rotary Actuators,Agus,0.66,0.02,0.03,0.06,0.77
2662,Galaxian,TMSales16,1982.0,Rotary Actuators,Kriston,0.72,0.05,0.0,0.01,0.77
2663,Andretti Racing,TMSales13,1996.0,Switches/Sensors,Amir,0.43,0.29,0.0,0.05,0.77
2664,Caesars Palace 2000: Millennium Gold Edition,TMSales13,2000.0,Vacuum Equipment,Interplay,0.43,0.29,0.0,0.05,0.77
2665,Madden NFL 25,TMSales18,2013.0,Air Cylinders,Amir,0.67,0.05,0.0,0.05,0.77
2666,Air Raid,TMSales16,1981.0,Directional Control Valves,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
2667,Need For Speed: Undercover,TMSales17,2008.0,Switches/Sensors,Amir,0.23,0.32,0.03,0.19,0.77
2668,Duke Nukem Forever,TMSales6,2011.0,Rotary Actuators,Faisal,0.33,0.31,0.0,0.12,0.77
2669,Freedom Wars,TMSales23,2014.0,Fittings/Tubing,Ferdi,0.22,0.14,0.32,0.1,0.77
2670,Marvel Nemesis: Rise of the Imperfects,TMSales7,2005.0,FRL,Amir,0.64,0.02,0.0,0.1,0.77
2671,Boxing,TMSales16,1980.0,FRL,Febby,0.72,0.04,0.0,0.01,0.77
2672,Need for Speed: Porsche Unleashed,TMSales13,1999.0,Switches/Sensors,Amir,0.43,0.29,0.0,0.05,0.77
2673,Dragon Ball: Raging Blast,TMSales6,2009.0,FRL,Yaqub,0.37,0.19,0.11,0.1,0.77
2674,Crystal Castles,TMSales16,1983.0,Directional Control Valves,Kriston,0.72,0.04,0.0,0.01,0.77
2675,Conker's Bad Fur Day,TMSales12,2001.0,Electric Actuators,Yogi,0.53,0.22,0.0,0.02,0.77
2676,Dragon Warrior I&II,TMSales3,1999.0,Fittings/Tubing,Enix Corporation,0.0,0.0,0.77,0.0,0.77
2677,Star Wars Episode II: Attack of the Clones,TMSales9,2002.0,Directional Control Valves,Yogi,0.55,0.2,0.0,0.01,0.77
2678,My Baby Girl,TMSales4,2008.0,Flow Control,Nobilis,0.61,0.1,0.0,0.06,0.77
2679,LEGO Batman 2: DC Super Heroes,TMSales4,2012.0,Directional Control Valves,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06,0.77
2680,Twisted Metal: Head On,TMSales17,2005.0,Directional Control Valves,Ferdi,0.71,0.0,0.0,0.06,0.77
2681,Conflict: Desert Storm II - Back to Bagdhad,TMSales7,2003.0,Rotary Actuators,SCi,0.38,0.29,0.0,0.1,0.77
2682,Maximo: Ghosts to Glory,TMSales7,2001.0,Electric Actuators,Capcom,0.38,0.29,0.0,0.1,0.77
2683,Pokemon Dash,TMSales4,2004.0,Switches/Sensors,Bayu,0.21,0.14,0.38,0.04,0.77
2684,Donkey Kong Country 3,TMSales9,2005.0,Electric Actuators,Bayu,0.45,0.17,0.14,0.01,0.77
2685,All-Star Baseball 2003,TMSales7,2002.0,Air Cylinders,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77
2686,Unlimited Saga,TMSales7,2002.0,Fittings/Tubing,Kriston,0.1,0.08,0.56,0.03,0.77
2687,Cabela's Deer Hunt: 2004 Season,TMSales7,2003.0,Air Cylinders,Activision Value,0.37,0.29,0.0,0.1,0.76
2688,Sonic Unleashed,TMSales7,2008.0,Electric Actuators,Amin,0.37,0.04,0.0,0.36,0.76
2689,Formula 1,TMSales13,1996.0,Switches/Sensors,Psygnosis,0.18,0.12,0.42,0.05,0.76
2690,Plants vs. Zombies: Garden Warfare,TMSales6,2014.0,Rotary Actuators,Amir,0.22,0.4,0.01,0.14,0.76
2691,Raving Rabbids: Travel in Time,TMSales1,2010.0,Lubrication,Andrias,0.22,0.47,0.0,0.08,0.76
2692,The Sims 3,TMSales10,2011.0,Flow Control,Amir,0.3,0.37,0.03,0.07,0.76
2693,Driv3r,TMSales14,2004.0,Switches/Sensors,Kriston,0.36,0.38,0.0,0.03,0.76
2694,Mercenaries: Playground of Destruction,TMSales7,2005.0,Directional Control Valves,LucasArts,0.64,0.02,0.0,0.1,0.76
2695,MTV Celebrity Deathmatch,TMSales7,2003.0,FRL,Gotham Games,0.37,0.29,0.0,0.1,0.76
2696,Street Fighter Alpha: Warriors' Dreams,TMSales13,1995.0,FRL,Virgin Interactive,0.17,0.11,0.43,0.05,0.76
2697,Mortal Kombat,TMSales23,2012.0,FRL,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
2698,ISS Pro Evolution,TMSales13,1998.0,Air Cylinders,Rizal,0.0,0.0,0.71,0.05,0.76
2699,Lost Planet 2,TMSales5,2010.0,Rotary Actuators,Capcom,0.38,0.24,0.08,0.06,0.76
2700,SoulCalibur V,TMSales6,2012.0,FRL,Yaqub,0.35,0.24,0.07,0.1,0.76
2701,Portal 2,TMSales15,2011.0,Rotary Actuators,Valve Software,0.33,0.32,0.0,0.11,0.76
2702,Super Monkey Ball: Touch & Roll,TMSales4,2005.0,Vacuum Equipment,Amin,0.7,0.01,0.0,0.06,0.76
2703,Pro Evolution Soccer 2015,TMSales11,2014.0,Air Cylinders,Rizal,0.09,0.43,0.11,0.13,0.76
2704,Drawn to Life: The Next Chapter,TMSales1,2009.0,Air Preparation,Yogi,0.29,0.39,0.0,0.08,0.76
2705,The Lord of the Rings: Conquest,TMSales6,2009.0,Directional Control Valves,Amir,0.38,0.26,0.0,0.12,0.76
2706,Final Fantasy II,TMSales2,1988.0,Fittings/Tubing,SquareSoft,0.0,0.0,0.76,0.0,0.76
2707,Tony Hawk's Pro Skater 2,TMSales12,2001.0,Air Cylinders,Febby,0.59,0.16,0.0,0.01,0.76
2708,Taiko no Tatsujin: Tatakon de Dodon ga Don,TMSales7,2002.0,Vacuum Equipment,Yaqub,0.0,0.0,0.76,0.0,0.76
2709,Mega Man Battle Network 6: Cybeast Falzar / Gregar,TMSales9,2005.0,Fittings/Tubing,Capcom,0.09,0.03,0.62,0.02,0.76
2710,Syphon Filter: The Omega Strain,TMSales7,2004.0,Rotary Actuators,Ferdi,0.37,0.29,0.0,0.1,0.76
2711,FIFA Soccer 11,TMSales7,2010.0,Air Cylinders,Amir,0.11,0.29,0.0,0.36,0.76
2712,Deer Drive,TMSales1,2009.0,Air Cylinders,Big Ben Interactive,0.67,0.04,0.0,0.05,0.76
2713,Kane & Lynch: Dead Men,TMSales5,2007.0,Rotary Actuators,Eidos Interactive,0.36,0.31,0.01,0.08,0.76
2714,Assassin's Creed: Revelations,TMSales15,2011.0,Directional Control Valves,Andrias,0.14,0.48,0.0,0.14,0.76
2715,Mortal Kombat: Deception,TMSales14,2004.0,FRL,Midway Games,0.61,0.12,0.0,0.03,0.76
2716,Ace Attorney Investigations: Miles Edgeworth,TMSales4,2009.0,Lubrication,Capcom,0.27,0.15,0.3,0.04,0.76
2717,That's So Raven,TMSales9,2004.0,Lubrication,Disney Interactive Studios,0.54,0.2,0.0,0.01,0.76
2718,FIFA 15,TMSales1,2014.0,Air Cylinders,Amir,0.24,0.46,0.0,0.06,0.76
2719,Marvel vs. Capcom 2: New Age of Heroes,TMSales7,2002.0,FRL,Capcom,0.31,0.24,0.13,0.08,0.76
2720,Need for Speed: Shift,TMSales17,2009.0,Switches/Sensors,Amir,0.16,0.38,0.01,0.21,0.76
2721,Kane & Lynch: Dead Men,TMSales6,2007.0,Rotary Actuators,Eidos Interactive,0.29,0.32,0.01,0.13,0.76
2722,Dark Souls II,TMSales5,2014.0,Fittings/Tubing,Yaqub,0.48,0.2,0.01,0.06,0.76
2723,True Crime: New York City,TMSales7,2005.0,Directional Control Valves,Febby,0.57,0.02,0.07,0.09,0.76
2724,Legends of Wrestling,TMSales7,2001.0,FRL,Acclaim Entertainment,0.37,0.29,0.0,0.1,0.76
2725,Rockstar Games presents Table Tennis,TMSales5,2006.0,Air Cylinders,Faisal,0.28,0.39,0.0,0.09,0.76
2726,Monopoly Streets,TMSales1,2010.0,Vacuum Equipment,Amir,0.24,0.44,0.0,0.08,0.76
2727,Genji: Days of the Blade,TMSales6,2006.0,Directional Control Valves,Ferdi,0.18,0.38,0.06,0.14,0.76
2728,Harvest Moon: Animal Parade,TMSales1,2008.0,Flow Control,Rising Star Games,0.6,0.09,0.02,0.05,0.76
2729,Final Fantasy Legend III,TMSales3,1991.0,Fittings/Tubing,SquareSoft,0.0,0.0,0.76,0.0,0.76
2730,Total War: Rome II,TMSales15,2013.0,Accessories,Amin,0.12,0.53,0.0,0.11,0.76
2731,Rare Replay,TMSales18,2015.0,Vacuum Equipment,Agus,0.47,0.21,0.01,0.07,0.75
2732,Spectrobes,TMSales4,2007.0,Fittings/Tubing,Disney Interactive Studios,0.67,0.03,0.0,0.06,0.75
2733,Wall-E,TMSales7,2008.0,Electric Actuators,Yogi,0.21,0.0,0.0,0.54,0.75
2734,WWE SmackDown vs. Raw 2009,TMSales17,2008.0,FRL,Yogi,0.41,0.21,0.0,0.14,0.75
2735,Band Hero,TMSales6,2009.0,Vacuum Equipment,Febby,0.41,0.24,0.0,0.11,0.75
2736,Mega Man X5,TMSales13,2000.0,Electric Actuators,Capcom,0.3,0.21,0.2,0.05,0.75
2737,Tearaway,TMSales23,2013.0,Lubrication,Sony Computer Entertainment Europe,0.17,0.39,0.0,0.19,0.75
2738,DJ Hero 2,TMSales6,2010.0,Vacuum Equipment,Febby,0.47,0.19,0.0,0.09,0.75
2739,The Godfather II,TMSales6,2009.0,Directional Control Valves,Amir,0.41,0.22,0.01,0.11,0.75
2740,WWE SmackDown vs. Raw 2010,TMSales1,2009.0,FRL,Yogi,0.51,0.17,0.0,0.07,0.75
2741,Turok,TMSales5,2008.0,Directional Control Valves,Touchstone,0.46,0.21,0.01,0.07,0.75
2742,[Prototype 2],TMSales6,2012.0,Directional Control Valves,Febby,0.36,0.28,0.0,0.11,0.75
2743,Shark Tale,TMSales7,2004.0,Directional Control Valves,Febby,0.37,0.29,0.0,0.1,0.75
2744,San Francisco Rush: Extreme Racing,TMSales12,1997.0,Switches/Sensors,GT Interactive,0.63,0.11,0.0,0.01,0.75
2745,The Amazing Spider-Man (Console Version),TMSales5,2012.0,Directional Control Valves,Febby,0.43,0.26,0.0,0.06,0.75
2746,Zone of the Enders,TMSales7,2001.0,Rotary Actuators,Rizal,0.3,0.24,0.13,0.08,0.75
2747,Red Faction: Guerrilla,TMSales6,2009.0,Rotary Actuators,Yogi,0.33,0.28,0.02,0.12,0.75
2748,Street Fighter EX Plus Alpha,TMSales13,1997.0,FRL,Virgin Interactive,0.28,0.19,0.23,0.05,0.75
2749,Madden NFL 06,TMSales17,2005.0,Air Cylinders,Amir,0.69,0.0,0.0,0.06,0.75
2750,Coded Arms,TMSales17,2005.0,Rotary Actuators,Rizal,0.28,0.29,0.0,0.18,0.75
2751,Tony Hawk's Underground 2,TMSales14,2004.0,Air Cylinders,Febby,0.48,0.24,0.0,0.03,0.75
2752,Tales of Vesperia,TMSales5,2008.0,Fittings/Tubing,Kriston,0.32,0.18,0.19,0.05,0.75
2753,X-Men Origins: Wolverine - Uncaged Edition,TMSales6,2009.0,Directional Control Valves,Febby,0.31,0.32,0.0,0.13,0.75
2754,Madagascar: Escape 2 Africa,TMSales4,2008.0,Directional Control Valves,Febby,0.42,0.26,0.0,0.07,0.75
2755,Split/Second,TMSales6,2010.0,Switches/Sensors,Disney Interactive Studios,0.31,0.31,0.01,0.12,0.75
2756,Capcom vs. SNK 2: Mark of the Millennium 2001,TMSales7,2001.0,FRL,Capcom,0.22,0.17,0.3,0.06,0.75
2757,MVP 06 NCAA Baseball,TMSales7,2006.0,Air Cylinders,Amir,0.62,0.02,0.0,0.1,0.75
2758,Just Dance 2015,TMSales20,2014.0,Vacuum Equipment,Andrias,0.4,0.28,0.0,0.07,0.75
2759,Borderlands: The Pre-Sequel,TMSales5,2014.0,Rotary Actuators,Faisal,0.46,0.22,0.01,0.06,0.75
2760,LittleBigPlanet 3,TMSales6,2014.0,Electric Actuators,Ferdi,0.2,0.43,0.01,0.11,0.75
2761,Marvel: Ultimate Alliance 2,TMSales6,2009.0,Fittings/Tubing,Febby,0.49,0.16,0.0,0.09,0.75
2762,Sega Superstars Tennis,TMSales4,2008.0,Air Cylinders,Amin,0.29,0.37,0.0,0.08,0.75
2763,The Walking Dead: Season One,TMSales5,2012.0,Lubrication,Avanquest Software,0.55,0.14,0.0,0.05,0.75
2764,Ace Combat: Assault Horizon,TMSales6,2011.0,Directional Control Valves,Yaqub,0.3,0.16,0.22,0.07,0.74
2765,Jump Ultimate Stars,TMSales4,2006.0,FRL,Bayu,0.0,0.0,0.74,0.0,0.74
2766,Jampack Summer 2001,TMSales7,2001.0,Vacuum Equipment,Ferdi,0.36,0.28,0.0,0.1,0.74
2767,Resonance of Fate,TMSales6,2010.0,Fittings/Tubing,Amin,0.2,0.22,0.24,0.09,0.74
2768,Burnout,TMSales7,2001.0,Switches/Sensors,Acclaim Entertainment,0.36,0.28,0.0,0.1,0.74
2769,Tom Clancy's Rainbow Six: Vegas,TMSales17,2007.0,Rotary Actuators,Andrias,0.42,0.19,0.0,0.14,0.74
2770,Final Fantasy XIII-2,TMSales5,2011.0,Fittings/Tubing,Square Enix,0.36,0.3,0.02,0.06,0.74
2771,LEGO Batman 2: DC Super Heroes,TMSales10,2012.0,Directional Control Valves,Warner Bros. Interactive Entertainment,0.41,0.27,0.0,0.06,0.74
2772,Mortal Kombat: Unchained,TMSales17,2006.0,FRL,Midway Games,0.67,0.01,0.0,0.06,0.74
2773,Mario & Luigi: Paper Jam,TMSales10,2015.0,Fittings/Tubing,Bayu,0.16,0.3,0.25,0.04,0.74
2774,Yu-Gi-Oh! Dungeon Dice Monsters,TMSales9,2001.0,Vacuum Equipment,Rizal,0.42,0.16,0.15,0.01,0.74
2775,Brink,TMSales6,2011.0,Rotary Actuators,Bethesda Softworks,0.29,0.32,0.01,0.12,0.74
2776,LEGO Marvel Super Heroes,TMSales20,2013.0,Directional Control Valves,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74
2777,Blur,TMSales6,2010.0,Switches/Sensors,Febby,0.22,0.37,0.02,0.13,0.74
2778,Madden NFL 11,TMSales1,,Air Cylinders,Unknown,0.7,0.0,0.0,0.05,0.74
2779,Namco Museum Remix,TMSales1,2007.0,Vacuum Equipment,Kriston,0.68,0.0,0.0,0.05,0.74
2780,Midnight Club 3: DUB Edition,TMSales14,2005.0,Switches/Sensors,Faisal,0.61,0.1,0.0,0.03,0.74
2781,Crysis 2,TMSales15,2011.0,Directional Control Valves,Amir,0.16,0.45,0.0,0.13,0.74
2782,The Lord of the Rings: The Two Towers,TMSales9,2002.0,Directional Control Valves,Amir,0.53,0.2,0.0,0.01,0.74
2783,Tiger Woods PGA Tour 2001,TMSales7,2001.0,Air Cylinders,Amir,0.36,0.28,0.0,0.09,0.74
2784,Indiana Jones and the Staff of Kings,TMSales1,2009.0,Directional Control Valves,Febby,0.36,0.3,0.0,0.08,0.74
2785,Jet Moto 3,TMSales13,1999.0,Switches/Sensors,Ferdi,0.41,0.28,0.0,0.05,0.74
2786,Naruto Shippuden: Ultimate Ninja Storm Generations,TMSales6,2012.0,FRL,Yaqub,0.27,0.25,0.14,0.08,0.74
2787,Unreal Championship,TMSales14,2002.0,Rotary Actuators,Kriston,0.59,0.12,0.0,0.03,0.74
2788,WarioWare: Twisted!,TMSales9,,Air Preparation,Unknown,0.16,0.06,0.5,0.02,0.74
2789,Pirates of the Caribbean: At World's End,TMSales6,2007.0,Directional Control Valves,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.74
2790,Tiger Woods PGA Tour 08,TMSales6,2007.0,Air Cylinders,Amir,0.22,0.38,0.0,0.14,0.74
2791,Persona 4: Arena,TMSales6,2012.0,FRL,Atlus,0.3,0.12,0.24,0.07,0.74
2792,Sword of Mana,TMSales9,2003.0,Fittings/Tubing,Bayu,0.31,0.11,0.3,0.02,0.74
2793,Harvest Moon DS: Island of Happiness,TMSales4,2007.0,Flow Control,Rising Star Games,0.44,0.01,0.25,0.04,0.74
2794,Star Ocean: The Last Hope International,TMSales6,2010.0,Fittings/Tubing,Square Enix,0.28,0.16,0.22,0.08,0.73
2795,The Sims 2: Castaway,TMSales4,2007.0,Flow Control,Amir,0.63,0.05,0.0,0.06,0.73
2796,FIFA: Road to World Cup 98,TMSales13,1997.0,Air Cylinders,Amir,0.14,0.09,0.46,0.05,0.73
2797,Dragon Ball Z: Ultime Menace,TMSales8,1993.0,FRL,Yaqub,0.0,0.0,0.73,0.0,0.73
2798,Classic NES Series: Donkey Kong,TMSales9,2004.0,Electric Actuators,Bayu,0.4,0.15,0.17,0.01,0.73
2799,Call of Duty: Ghosts,TMSales15,2013.0,Rotary Actuators,Febby,0.23,0.41,0.0,0.09,0.73
